Country,"Reciprocal Tariff, Adjusted","Total Trade Volume with US, 2024","% Exports going to US, 2024","US exports by country, 2024","US exports by country, 2024","US imports by country, 2024","US imports by country, 2024"
North Macedonia,33%,"$239,960,000",,$60.64M,"$60,640,000",$179.32M,"$179,320,000"
Norway,15%,"$11,430,000,000",,$4.55B,"$4,550,000,000",$6.88B,"$6,880,000,000"
Pakistan,29%,"$7,610,000,000",,$2.14B,"$2,140,000,000",$5.47B,"$5,470,000,000"
Philippines,17%,"$23,890,000,000",,$9.30B,"$9,300,000,000",$14.59B,"$14,590,000,000"
Serbia,37%,"$1,136,520,000",,$259.25M,"$259,250,000",$877.27M,"$877,270,000"
South Africa,30%,"$20,640,000,000",,$5.82B,"$5,820,000,000",$14.82B,"$14,820,000,000"
South Korea,25%,"$201,000,000,000",,$65.54B,"$65,540,000,000",$135.46B,"$135,460,000,000"
Sri Lanka,44%,"$3,528,210,000",,$368.21M,"$368,210,000",$3.16B,"$3,160,000,000"
Switzerland,31%,"$88,960,000,000",,$24.96B,"$24,960,000,000",$64.00B,"$64,000,000,000"
Syria,41%,"$13,200,000",,$2.02M,"$2,020,000",$11.18M,"$11,180,000"
Taiwan,32%,"$121,400,000,000",,$35.80B,"$35,800,000,000",$85.60B,"$85,600,000,000"
Thailand,36%,"$83,730,000,000",,$17.72B,"$17,720,000,000",$66.01B,"$66,010,000,000"
Tunisia,28%,"$1,653,590,000",,$503.59M,"$503,590,000",$1.15B,"$1,150,000,000"
Vanuatu,22%,"$21,800,000",,$7.60M,"$7,600,000",$14.20M,"$14,200,000"
Venezuela,15%,"$10,550,000,000",,$4.23B,"$4,230,000,000",$6.32B,"$6,320,000,000"
Vietnam,46%,"$155,580,000,000",,$13.10B,"$13,100,000,000",$142.48B,"$142,480,000,000"
Zambia,17%,"$285,230,000",,$113.76M,"$113,760,000",$171.47M,"$171,470,000"
Zimbabwe,18%,"$113,310,000",,$43.78M,"$43,780,000",$69.53M,"$69,530,000"
Mexico,25%,"$844,000,000,000",,$334.04B,"$334,040,000,000",$509.96B,"$509,960,000,000"
Canada,25%,"$769,620,000,000",,$348.41B,"$348,410,000,000",$421.21B,"$421,210,000,000"
